,TRUE,,1,2,3,4,5,6,7,8,9,10,
1,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,0.531395,,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,
3,0.562667,,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,
4,0.593691,,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,
5,0.624345,,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,
6,0.654508,,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,
7,0.684062,,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,
8,0.71289,,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,
9,0.740877,,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,
10,0.767913,,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,
11,0.793893,,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,
12,0.818712,,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,
13,0.842274,,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,
14,0.864484,,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,
15,0.885257,,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,
16,0.904508,,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,
17,0.922164,,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,
18,0.938153,,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,
19,0.952414,,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,
20,0.964888,,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,
21,0.975528,,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,
22,0.984292,,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,
23,0.991144,,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,
24,0.996057,,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,
25,0.999013,,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,
26,1,,1,1,1,1,1,1,1,1,1,1,
27,0.999013,,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,0.999013,
28,0.996057,,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,0.996057,
29,0.991144,,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,0.991144,
30,0.984292,,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,0.984292,
31,0.975528,,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,0.975528,
32,0.964888,,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,0.964888,
33,0.952414,,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,0.952414,
34,0.938153,,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,0.938153,
35,0.922164,,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,0.922164,
36,0.904508,,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,0.904508,
37,0.885257,,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,0.885257,
38,0.864484,,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,0.864484,
39,0.842274,,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,0.842274,
40,0.818712,,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,0.818712,
41,0.793893,,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,0.793893,
42,0.767913,,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,0.767913,
43,0.740877,,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,0.740877,
44,0.71289,,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289,
45,0.684062,,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,0.684062,
46,0.654508,,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,0.654508,
47,0.624345,,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,0.624345,
48,0.593691,,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,0.593691,
49,0.562667,,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,0.562667,
50,0.531395,,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,0.531395,
51,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
52,0.468605,,0.468605,0.468605,0.468605,0.468605,0.468605,0.468605,0.468605,0.468605,0.468605,0.468605,
53,0.437333,,0.437333,0.437333,0.437333,0.437333,0.437333,0.437333,0.437333,0.437333,0.437333,0.437333,
54,0.406309,,0.406309,0.406309,0.406309,0.406309,0.406309,0.406309,0.406309,0.406309,0.406309,0.406309,
55,0.375655,,0.375655,0.375655,0.375655,0.375655,0.375655,0.375655,0.375655,0.375655,0.375655,0.375655,
56,0.345492,,0.345492,0.345492,0.345492,0.345492,0.345492,0.345492,0.345492,0.345492,0.345492,0.345492,
57,0.315938,,0.315938,0.315938,0.315938,0.315938,0.315938,0.315938,0.315938,0.315938,0.315938,0.315938,
58,0.28711,,0.28711,0.28711,0.28711,0.28711,0.28711,0.28711,0.28711,0.28711,0.28711,0.28711,
59,0.259123,,0.259123,0.259123,0.259123,0.259123,0.259123,0.259123,0.259123,0.259123,0.259123,0.259123,
60,0.232087,,0.232087,0.232087,0.232087,0.232087,0.232087,0.232087,0.232087,0.232087,0.232087,0.232087,
61,0.206107,,0.206107,0.206107,0.206107,0.206107,0.206107,0.206107,0.206107,0.206107,0.206107,0.206107,
62,0.181288,,0.181288,0.181288,0.181288,0.181288,0.181288,0.181288,0.181288,0.181288,0.181288,0.181288,
63,0.157726,,0.157726,0.157726,0.157726,0.157726,0.157726,0.157726,0.157726,0.157726,0.157726,0.157726,
64,0.135516,,0.135516,0.135516,0.135516,0.135516,0.135516,0.135516,0.135516,0.135516,0.135516,0.135516,
65,0.114743,,0.114743,0.114743,0.114743,0.114743,0.114743,0.114743,0.114743,0.114743,0.114743,0.114743,
66,0.0954915,,0.0954915,0.0954915,0.0954915,0.0954915,0.0954915,0.0954915,0.0954915,0.0954915,0.0954915,0.0954915,
67,0.077836,,0.077836,0.077836,0.077836,0.077836,0.077836,0.077836,0.077836,0.077836,0.077836,0.077836,
68,0.0618467,,0.0618467,0.0618467,0.0618467,0.0618467,0.0618467,0.0618467,0.0618467,0.0618467,0.0618467,0.0618467,
69,0.0475865,,0.0475865,0.0475865,0.0475865,0.0475865,0.0475865,0.0475865,0.0475865,0.0475865,0.0475865,0.0475865,
70,0.0351118,,0.0351118,0.0351118,0.0351118,0.0351118,0.0351118,0.0351118,0.0351118,0.0351118,0.0351118,0.0351118,
71,0.0244717,,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,
72,0.0157084,,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,
73,0.00885637,,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,
74,0.00394265,,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,
75,0.000986636,,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,
76,0,,0,0,0,0,0,0,0,0,0,0,
77,0.000986636,,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,0.000986636,
78,0.00394265,,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,0.00394265,
79,0.00885637,,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,0.00885637,
80,0.0157084,,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,0.0157084,
81,0.0244717,,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,0.0244717,
