,TRUE,,1,2,3,4,5,6,7,8,9,10,
1,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,0.531445,,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,
3,0.562767,,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,
4,0.593841,,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,
5,0.624545,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,
6,0.654758,,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,
7,0.684362,,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,
8,0.71324,,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,
9,0.741277,,0.7425,0.7425,0.7425,0.7425,0.7425,0.7425,0.7425,0.7425,0.7425,0.7425,
10,0.768363,,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,
11,0.794393,,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,
12,0.819262,,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,
13,0.842874,,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,
14,0.865134,,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,
15,0.885957,,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,
16,0.905258,,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,
17,0.922964,,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,
18,0.939003,,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,
19,0.953314,,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,
20,0.965838,,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,
21,0.976528,,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,
22,0.985342,,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,
23,0.992244,,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,
24,0.997207,,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,
25,1.00021,,1,1,1,1,1,1,1,1,1,1,
26,1.00125,,1,1,1,1,1,1,1,1,1,1,
27,1.00031,,1,1,1,1,1,1,1,1,1,1,
28,0.997407,,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,
29,0.992544,,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,0.9925,
30,0.985742,,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,
31,0.977028,,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,0.9775,
