1~100,101~200,201~300,301~400,401~500,501~600,601~700,701~800,801~900,901~1000,1001~1100,1101~1200,1201~1300,1301~1400,1401~1500,1501~1600,1601~1700,1701~1800,1801~1900,1901~2000,2001~2100,2101~2200,2201~2300,2301~2400,2401~2500,2501~2600,2601~2700,2701~2800,2801~2900,2901~3000,3001~3100,3101~3200,3201~3300,3301~3400,3401~3500,3501~3600,3601~3700,3701~3800,3801~3900,3901~4000,4001~4100,4101~4200,4201~4300,4301~4400,4401~4500,4501~4600,4601~4700,4701~4800,4801~4900,4901~5000,5001~5100,5101~5200,5201~5300,5301~5400,5401~5500,5501~5600,5601~5700,5701~5800,5801~5900,5901~6000,6001~6100,6101~6200,6201~6300,6301~6400,6401~6500,6501~6600,6601~6700,6701~6800,6801~6900,6901~7000,7001~7100,7101~7200,7201~7300,7301~7400,7401~7500,7501~7600,7601~7700,7701~7800,7801~7900,7901~8000,8001~8100,8101~8200,8201~8300,8301~8400,8401~8500,8501~8600,8601~8700,8701~8800,8801~8900,8901~9000,9001~9100,9101~9200,9201~9300,9301~9400,9401~9500,9501~9600,9601~9700,9701~9800,9801~9900,9901~10000,10001~10100,10101~10200,10201~10300,10301~10400,10401~10500,10501~10600,10601~10700,10701~10800,10801~10900,10901~11000,11001~11100,11101~11200,11201~11300,11301~11400,11401~11500,11501~11600,11601~11700,11701~11800,11801~11900,11901~12000,12001~12100,12101~12200,12201~12300,12301~12400,12401~12500,12501~12600,12601~12700,12701~12800,12801~12900,12901~13000,13001~13100,13101~13200,13201~13300,13301~13400,13401~13500,13501~13600,13601~13700,13701~13800,13801~13900,13901~14000,14001~14100,14101~14200,14201~14300,14301~14400,14401~14500,14501~14600,14601~14700,14701~14800,14801~14900,14901~15000,15001~15100,15101~15200,15201~15300,15301~15400,15401~15500,15501~15600,15601~15700,15701~15800,15801~15900,15901~16000,16001~16100,16101~16200,16201~16300,16301~16400,16401~16500,16501~16600,16601~16700,16701~16800,16801~16900,16901~17000,17001~17100,17101~17200,17201~17300,17301~17400,17401~17500,17501~17600,17601~17700,17701~17800,17801~17900,17901~18000,18001~18100,18101~18200,18201~18300,18301~18400,18401~18500,18501~18600,18601~18700,18701~18800,18801~18900,18901~19000,19001~19100,19101~19200,19201~19300,19301~19400,19401~19500,19501~19600,19601~19700,19701~19800,19801~19900,19901~20000,
2.00066,2.04451,2.0308,2.18702,2.14591,2.43916,2.21717,1.92392,1.5923,1.46075,1.45253,1.84992,1.35387,1.15928,1.24972,1.37305,1.1538,1.01129,1.34565,0.885222,1.04144,1.15106,1.06884,1.04692,1.10447,0.929072,0.890703,0.778337,1.10173,1.01951,1.15106,0.926331,0.803003,0.909888,0.882481,0.887963,0.794781,0.698859,0.778338,0.912628,0.981144,0.871519,0.813966,0.822188,1.08529,0.986625,1.0387,0.868778,0.838631,0.860556,1.25795,1.05788,1.1401,0.901666,1.02225,0.940034,1.06336,0.994847,0.907147,0.874259,0.983884,1.00581,0.901666,0.989366,0.819447,1.02225,1.09351,0.893444,0.772856,0.750931,0.792041,0.959219,0.7893,0.907147,0.868778,0.890703,0.989366,1.07707,0.978403,0.838631,0.868778,0.918109,1.01951,0.983884,0.907147,0.726266,0.896184,0.898925,1.07432,0.923591,1.01129,0.975663,0.767375,0.737228,0.9647,1.0387,1.13188,0.942775,0.893444,0.879741,0.786559,1.12914,0.931813,0.937294,0.918109,0.764634,0.890703,0.863297,0.775597,0.83315,0.759153,0.846853,0.808484,0.879741,0.857816,0.822188,0.781078,0.92085,0.92085,0.756413,0.794781,0.896184,0.912628,0.874259,0.901666,0.822188,0.948256,0.893444,0.753672,0.786559,0.737228,0.783819,0.846853,0.975662,0.855075,0.772856,0.953737,0.898925,0.882481,0.866038,0.764634,0.660491,0.696119,0.822188,1.04692,0.950997,0.7893,0.655009,0.83315,0.940034,0.983884,0.959219,0.819447,0.822188,0.948256,1.03047,0.877,0.994847,1.00307,1.0524,0.893444,0.7893,0.750931,0.956478,0.835891,0.778338,0.797522,0.816706,0.838631,0.940034,0.983884,0.975663,0.907147,0.898925,0.879741,0.890703,1.11269,0.970181,0.940034,0.827669,0.874259,0.868778,1.09625,0.937294,0.835891,0.890703,0.679675,0.731747,0.690638,1.03596,0.709822,0.696119,0.909888,0.723525,0.863297,0.975663,0.855075,0.811225,0.904406,0.723525,,194.551
2.00066,2.03354,2.06369,2.08562,2.21443,2.09932,2.15961,1.72385,2.1185,1.41416,1.37579,1.40594,1.21684,1.32372,1.10721,1.24972,1.30728,1.06884,1.09625,0.956478,1.08529,1.01951,0.723525,0.794781,0.923591,0.986625,1.0387,0.9647,1.03596,1.02773,0.981144,1.05514,0.972922,0.978403,0.961959,0.978403,0.709822,0.792041,0.882481,1.05514,0.800262,0.775597,0.827669,0.734487,0.794781,1.02499,1.10721,0.852334,0.805744,0.898925,0.992106,1.1401,1.10721,0.929072,0.772856,0.739969,0.887962,0.901666,0.959219,0.857816,0.907147,0.868778,0.9647,1.05514,1.04966,1.15106,0.805744,1.02499,0.994847,0.940034,0.898925,1.0387,0.668712,0.709822,0.704341,0.887962,0.937294,0.827669,0.783819,0.885222,0.792041,0.74545,0.822188,0.877,0.890703,0.822188,0.797522,0.690638,0.879741,0.882481,0.898925,0.816706,0.778337,1.00581,0.887962,0.890703,0.786559,0.940034,0.885222,0.978403,0.767375,0.800263,0.978403,0.739969,1.09351,0.827669,0.970181,0.698859,0.687897,0.808484,1.08255,0.994847,1.10447,0.975663,0.775597,0.945516,1.0524,0.983884,0.926331,0.972922,0.948256,0.948256,0.945516,0.948256,0.756413,0.975662,0.874259,0.855075,0.923591,1.11269,1.07981,0.929072,0.940034,0.994847,0.994847,1.01951,1.10173,1.17299,1.15654,1.1538,0.978403,0.887962,0.981144,1.07707,0.961959,1.02499,0.978403,0.83315,0.907147,0.9647,0.959219,0.992106,0.852334,0.800263,0.720784,0.794781,1.01677,0.767375,0.778338,0.937294,0.901666,0.937294,0.838631,0.879741,0.726266,0.92085,0.849594,0.92085,0.792041,0.704341,0.668713,0.709822,0.759153,1.11543,0.912628,0.879741,0.761894,0.772856,0.811225,0.950997,0.808484,0.781078,0.822188,0.690638,0.981144,0.778337,0.696119,0.750931,0.792041,0.641306,0.786559,0.655009,0.808484,1.00307,0.794781,0.750931,0.863297,0.909888,0.792041,0.824928,,193.05
2.00066,2.02258,2.02532,2.08288,2.29938,2.2665,2.28294,1.96229,2.01162,1.38402,1.23876,1.21684,1.16477,1.07158,1.29632,1.32646,1.29632,1.31276,0.959219,0.929072,0.994847,0.822188,0.961959,0.912628,0.838631,0.715303,0.915369,0.775597,0.827669,0.945516,0.860556,0.887963,0.948256,1.08529,1.12914,0.855075,0.898925,0.923591,0.819447,0.997587,0.871519,0.978403,0.909888,0.803003,0.942775,0.877,0.904406,0.983884,0.959219,0.937294,1.04144,1.05788,1.12366,0.792041,0.953738,0.997587,1.04418,0.978403,0.835891,0.764634,0.808484,0.874259,0.981144,0.783819,0.693378,0.926331,0.830409,1.09899,1.03048,0.860556,0.841372,0.786559,0.866038,0.723525,0.981144,0.901666,1.01129,0.961959,0.959219,0.855075,0.827669,0.849594,0.937294,0.893444,0.838631,0.819447,0.808484,0.737228,0.841372,0.929072,0.764634,0.981144,0.978403,0.961959,0.890703,0.797522,0.687897,0.882481,0.874259,0.877,0.852334,0.868778,0.863297,0.929072,0.800263,0.800263,0.707081,0.682416,0.778338,1.0661,0.781078,0.808484,0.74545,0.904406,0.887963,1.01129,0.940034,0.983884,0.838631,0.893444,0.926331,0.950997,1.03048,0.868778,0.841372,0.841372,0.929072,0.863297,0.805744,0.838631,0.74545,0.805744,0.797522,0.929072,0.887963,0.978403,0.772856,0.918109,1.02225,0.803003,0.764634,0.805744,0.909887,0.803003,0.808484,0.712563,0.816706,0.912628,0.756413,0.827669,0.805744,0.726266,0.665972,0.981144,0.893444,0.868778,0.800263,0.761894,0.819447,0.942775,0.712563,0.813966,0.770116,0.624863,0.761894,0.800262,0.871519,0.674194,0.926331,0.898925,0.824928,0.857816,0.989366,0.830409,0.9647,0.950997,0.92085,0.893444,0.901666,0.783819,0.783819,0.720784,1.01677,0.986625,0.953738,0.764634,0.827669,0.7893,0.918109,0.718044,0.827669,0.718044,0.857816,0.761894,0.863297,0.844113,0.819447,0.9647,0.953738,0.904406,,188.826
2.00066,2.02806,2.04451,2.06369,2.19798,2.2665,2.09384,1.98695,1.67452,1.54845,1.55942,1.30728,1.37031,1.24973,1.1264,1.19491,1.26891,1.00855,1.01129,1.10447,0.822187,1.02499,1.04692,0.953737,0.857816,0.750931,1.07432,1.02773,1.03048,0.885222,1.00855,0.898925,0.841372,0.885222,0.997587,0.981144,0.718044,0.737228,0.726266,0.863297,1.01677,0.857816,0.7016,0.816706,0.896184,1.02773,0.912628,0.718044,0.841372,0.871519,0.7016,0.824928,0.737228,0.885222,0.822187,0.819447,0.868778,0.871519,0.907147,0.994847,0.811225,0.753672,0.803003,0.956478,0.994847,0.778337,0.7893,0.907147,0.945516,1.03322,0.868778,0.918109,0.885222,0.778337,0.898925,0.885222,0.877,0.800263,1.01951,1.07158,0.945516,0.852334,0.813966,0.909888,1.04692,0.909887,0.882481,0.822187,0.827669,1.01951,0.912628,0.811225,0.953737,0.824928,1.02499,0.907147,1.04966,0.934553,0.989366,1.00855,0.929072,1.01951,1.09625,1.08803,0.931813,0.778338,0.893444,1.07981,0.953738,1.09351,0.885222,1.01951,0.797522,0.986625,1.02499,0.92085,0.918109,0.863297,0.852334,1.08529,1.03596,0.997587,0.931813,0.893444,0.956478,0.863297,0.739969,0.945516,0.907147,0.923591,1.04144,0.767375,0.893444,1.06336,0.923591,1.00855,0.871519,0.978403,0.860556,1.1264,1.11269,1.06062,0.978403,0.838631,0.948256,1.06336,0.961959,0.753672,1.02499,0.879741,0.893444,1.02499,0.981144,0.967441,1.04418,0.929072,0.860556,0.948256,0.819447,0.942775,0.901666,0.753672,0.855075,0.704341,0.877,0.953738,0.816706,0.668713,0.92085,0.792041,0.937294,0.852334,0.898925,0.816706,0.838631,0.871519,0.792041,0.770116,0.665972,0.855075,0.737228,0.923591,0.753672,0.846853,0.729006,0.731747,0.794781,0.835891,0.846853,0.633084,0.767375,0.863297,0.871519,0.803003,0.759153,0.819447,0.931813,0.739969,0.794781,0.841372,,193.102
2.00066,2.03903,2.05547,2.15961,2.23635,2.20072,2.38434,2.01984,1.80059,1.42513,1.5046,1.55119,1.3895,1.22232,1.01129,0.92085,0.704341,1.27165,1.08803,0.857816,1.00581,0.772856,0.805744,0.830409,1.02225,1.00855,1.00855,0.885222,0.959219,0.896184,1.08529,0.989366,0.844112,0.983884,0.868778,0.816706,0.668713,0.685156,0.679675,0.792041,0.970181,0.885222,0.83315,0.74545,0.838631,0.942775,0.945516,0.926331,0.841372,0.923591,1.05788,0.9647,1.0387,0.972922,0.863297,0.734487,0.786559,0.885222,0.770116,0.937294,0.874259,0.961959,0.909887,1.00581,0.874259,0.750931,0.860556,0.819447,0.811225,0.712563,0.775597,0.953737,0.857816,0.866038,0.718044,0.898925,0.912628,0.934553,0.92085,0.956478,0.956478,0.940034,0.887963,1.09899,1.0387,0.926331,1.05788,0.994847,1.07158,0.852334,0.92085,0.822188,0.803003,1.16202,0.942775,0.808484,0.909888,0.986625,0.863297,1.13736,0.860556,1.13462,1.08803,0.959219,0.887963,0.822187,0.904406,0.808484,0.942775,0.898925,0.855075,0.989366,0.975662,1.04692,1.06062,0.9647,0.934553,0.970181,0.890703,1.12914,1.10995,1.10173,0.989366,0.909888,0.940034,1.07158,1.13736,0.803003,0.693378,0.852334,0.786559,0.975663,0.896184,0.794781,0.967441,0.929072,0.871519,1.04144,1.01951,1.03596,0.92085,0.830409,1.07707,1.12366,0.9647,0.871519,0.783819,0.871519,0.852334,1.13736,0.852334,0.772856,0.808484,0.871519,0.953738,0.929072,0.890703,0.926331,1.00581,1.06336,0.956478,0.937294,0.835891,0.975663,1.09899,1.03047,0.871519,0.901666,0.7893,0.808484,0.970181,0.890703,0.929072,0.92085,0.907147,0.819447,0.803003,0.813966,0.885222,0.959219,0.726266,0.624863,0.786559,0.753672,0.800263,0.7893,0.742709,0.786559,0.929072,0.918109,0.885222,0.775597,0.687897,1.15928,1.06336,0.781078,0.783819,0.739969,0.893444,0.934553,,195.097
2.00066,2.00066,2.06095,2.08288,2.22539,2.12124,2.14865,2.25279,1.91296,1.36209,1.26891,1.06884,0.961959,1.0387,1.12366,0.992106,0.830409,0.838631,0.855075,0.940034,1.12366,0.860556,0.803003,0.800263,0.824928,0.989366,0.778337,1.01403,1.0661,0.934553,1.00033,0.841372,0.835891,1.12092,1.15106,0.926331,0.775597,0.887962,0.978403,1.20039,1.17299,1.01403,0.989366,1.00307,1.01129,0.975662,1.08803,0.967441,0.923591,0.805744,0.712562,1.00307,1.05788,0.827669,1.01677,0.800262,0.912628,1.08803,0.929072,0.739969,0.904406,0.907147,0.950997,1.06884,1.02773,1.01403,0.912628,0.923591,0.83315,0.887963,0.753672,0.852334,0.824928,1.01403,0.970181,0.852334,0.866038,1.0661,1.09351,0.904406,0.882481,0.887962,0.994847,0.989366,1.04966,0.934553,0.863297,1.07981,0.901666,0.893444,1.04418,0.890703,1.1264,1.21136,0.893444,0.92085,0.997587,1.08255,0.972922,0.863297,0.857816,0.866038,1.09351,1.09351,0.915369,0.904406,0.942775,1.06062,0.994847,0.794781,0.844113,0.794781,0.879741,0.961959,1.01677,0.904406,1.07707,1.0387,0.945516,1.09077,0.92085,0.967441,0.975662,1.00581,0.918109,0.896184,0.808484,0.868778,0.786559,0.871519,0.948256,0.882481,0.849594,0.904406,0.852334,0.83315,1.10721,1.08255,1.04144,0.983884,0.690638,0.871519,0.822188,0.868778,0.767375,0.866038,0.849594,0.866038,1.08529,0.923591,1.00855,0.929072,0.830409,0.852334,0.835891,0.887963,0.931813,0.981144,0.868778,0.786559,0.904406,0.764634,0.792041,0.852334,0.734487,0.696119,0.759153,0.959219,0.877,0.737228,0.816706,0.693378,0.7016,0.74545,0.835891,0.715303,0.750931,0.759153,0.811225,0.887963,0.767375,0.863297,0.772856,0.74545,0.846853,0.882481,0.767375,0.74545,0.813966,0.772856,0.849594,1.02499,0.803003,0.671453,0.759153,0.92085,0.857816,0.591975,0.718044,0.723525,,192.945
2.00066,2.05547,2.06095,2.0171,2.20894,2.1185,2.22813,1.88829,1.75948,1.57312,1.63889,0.983884,1.16202,0.994847,1.03596,1.04418,1.0387,0.764634,0.912628,0.901666,0.734487,1.14558,0.846853,0.668713,0.992106,0.863297,0.846853,0.874259,0.846853,0.726266,0.992106,1.07981,0.742709,0.871519,0.800262,0.855075,1.0524,0.811225,0.792041,0.822187,1.00307,0.849594,0.898925,0.792041,0.931812,0.857816,0.835891,1.12092,0.819447,0.857816,0.849594,0.759153,0.761894,0.767375,0.748191,0.83315,0.942775,0.877,0.813966,0.879741,0.882481,0.855075,0.950997,0.879741,0.940034,1.01403,0.92085,0.805744,0.792041,0.879741,0.898925,0.972922,0.83315,0.879741,0.874259,0.800262,0.967441,1.18943,1.03047,0.863297,0.890703,0.997587,1.07707,1.10447,0.918109,1.08255,0.816706,0.981144,1.03047,1.00855,0.975663,0.992106,0.909887,0.827669,0.994847,0.937294,0.7893,0.805744,0.929072,0.879741,0.994847,1.05514,1.05514,1.01677,0.929072,0.868778,0.7893,1.08255,0.811225,0.794781,0.934553,0.792041,0.734487,0.898925,0.931813,0.838631,1.0524,0.950997,0.846853,0.882481,0.794781,0.893444,1.01129,0.805744,0.803003,0.707081,0.855075,0.857816,0.852334,0.901666,0.912628,0.841372,0.803003,0.923591,0.775597,0.857816,0.855075,0.739969,0.855075,0.948256,0.896184,0.822187,0.800262,0.797522,0.811225,0.794781,0.792041,0.652269,0.74545,0.679675,0.731747,0.849594,0.893444,0.846853,0.764634,0.786559,0.74545,0.65775,0.737228,0.885222,0.877,0.852334,0.715303,0.841372,0.767375,0.748191,0.797522,0.761894,0.723525,0.742709,0.868778,0.931813,0.808484,1.00307,1.00855,0.931813,0.956478,0.942775,0.937294,1.05514,0.961959,0.819447,0.811225,0.915369,0.983884,1.02225,0.7893,0.739969,0.682416,0.707081,0.950997,0.739969,0.7893,0.824928,0.737228,0.800263,0.961959,0.887962,0.857816,0.819447,,187.152
2.00066,2.03354,2.05547,2.12398,2.2802,2.26924,2.07739,1.95407,1.9157,1.41416,1.49912,1.37853,1.37579,0.986625,1.22232,1.11269,1.09899,1.00581,1.29083,0.972922,0.937294,0.855075,0.989366,1.21136,1.04966,0.904406,0.770116,0.879741,0.92085,1.02773,0.803003,0.915369,0.731747,0.898925,0.893444,0.909888,0.959219,0.986625,0.816706,0.896184,0.855075,0.857816,1.00033,0.937294,0.863297,0.874259,0.918109,0.934553,0.992106,1.03047,0.948256,0.956478,0.961959,0.857816,0.885222,0.912628,0.731747,0.953738,1.03048,0.967441,0.970181,0.929072,0.950997,0.813966,0.7893,0.849594,0.912628,1.03048,0.907147,0.748191,0.726266,1.01677,1.0661,1.06336,0.824928,0.693378,0.970181,0.871519,1.01129,0.767375,0.901666,1.04966,0.857816,0.986625,0.723525,0.74545,0.778338,0.83315,0.792041,1.02773,1.05788,0.775597,0.934553,0.898925,1.03047,0.918109,0.811225,0.940034,0.893444,1.01677,1.01403,0.898925,1.20862,0.863297,0.956478,1.06062,0.887962,0.885222,0.83315,0.775597,1.00307,1.18121,0.948256,1.00855,1.01403,0.844112,0.909887,0.901666,1.05514,0.896184,0.983884,0.981144,1.03596,1.00033,0.852334,0.723525,0.956478,0.877,0.959219,0.830409,0.931813,0.994847,0.720784,0.9647,0.945516,0.813966,0.753672,0.940034,0.898925,0.972922,1.04418,0.816706,0.830409,0.824928,0.950997,0.983884,0.879741,0.819447,0.770116,0.827669,0.841372,0.781078,0.797522,0.923591,0.750931,0.874259,0.857816,0.800263,0.92085,0.898925,0.863297,0.827669,0.868778,0.961959,0.981144,0.975663,0.742709,0.857816,0.887962,0.981144,0.931813,0.855075,0.792041,0.860556,0.918109,0.794781,0.819447,0.835891,0.866038,0.803003,0.74545,0.893444,0.685156,0.770116,0.756413,0.674194,0.671453,0.835891,0.685156,0.824928,0.803003,0.775597,0.726266,0.816706,0.682416,0.726266,0.811225,0.775597,0.756412,0.783819,,191.882
2.00066,2.04451,2.06095,2.21168,2.15961,2.23909,2.18428,2.04999,1.59778,1.1401,1.45801,1.33743,1.45527,0.945516,1.24698,1.29357,1.22506,1.26617,1.13736,1.20039,1.05788,1.0524,0.912628,0.997587,1.10173,0.800262,1.04692,0.885222,0.926331,0.874259,1.08803,1.06062,0.786559,0.781078,0.822187,0.898925,0.887962,0.813966,0.841372,0.849594,0.781078,0.74545,0.709822,0.83315,0.827669,0.907147,0.912628,0.794781,0.844113,0.926331,0.92085,0.781078,0.92085,0.887963,0.841372,0.879741,0.835891,0.978403,1.00033,0.909888,0.860556,0.981144,0.808484,0.898925,0.803003,0.882481,0.934553,0.981144,0.912628,0.896184,0.866038,0.772856,0.937294,0.857816,0.835891,0.945516,0.931812,0.912628,0.931813,0.978403,0.997587,0.931812,0.822188,0.967441,0.961959,0.682416,0.877,0.92085,0.929072,1.03048,1.01677,0.857816,1.01129,1.07158,1.1264,1.08803,0.923591,0.923591,0.803003,0.983884,1.16202,1.01403,1.01129,0.887963,0.967441,0.937294,1.17025,1.00307,0.693378,0.846853,0.926331,1.01677,1.0524,0.937294,0.882481,0.868778,0.874259,0.986625,1.04144,1.2141,0.992106,0.983884,1.1264,1.04966,1.09351,1.10447,0.846853,1.01951,0.824928,0.841372,1.02499,1.07707,0.792041,0.879741,0.794781,0.868778,1.19217,0.879741,0.860556,0.805744,0.866038,0.937294,0.863297,0.775597,0.707081,0.734488,0.775597,0.786559,0.934553,0.685156,0.704341,0.879741,0.783819,0.909888,0.759153,0.800263,0.7893,0.852334,0.989366,0.822188,0.7016,0.591975,0.813966,0.879741,0.92085,0.813966,0.775597,0.753672,0.866037,0.972922,1.06336,0.874259,0.937294,0.975663,0.92085,1.00581,0.945516,1.00855,0.937294,0.830409,0.846853,0.970181,0.904406,0.805744,0.852334,0.844113,0.855075,0.698859,0.797522,0.797522,0.819447,0.827669,0.882481,0.877,0.805744,0.926331,0.882481,0.838631,0.753672,0.720784,,194.039
2.00066,2.04725,2.02258,2.15139,2.07739,2.25005,2.06917,2.17057,1.86637,1.39224,1.31824,1.34017,1.26069,1.12092,1.32372,1.20587,1.14558,0.827669,0.937294,1.02499,1.00581,1.09351,0.813966,0.715303,0.794781,0.975662,0.940034,0.940034,0.846853,0.822188,0.877,0.811225,0.846853,0.866038,0.901666,0.92085,0.759153,0.731747,0.794781,0.912628,0.783819,0.764634,0.923591,0.7016,0.816706,0.83315,0.923591,0.967441,0.929072,0.915369,0.838631,0.868778,0.950997,0.838631,0.994847,0.934553,0.844112,0.912628,0.844112,0.929072,1.0661,0.907147,0.975662,0.918109,0.874259,0.885222,1.16202,0.901666,0.923591,0.898925,0.824928,0.948256,0.918109,0.775597,0.879741,0.808484,0.877,0.898925,0.885222,1.04966,0.904406,0.822187,0.989366,1.01403,0.986625,1.04966,0.994847,0.838631,1.08529,0.994847,0.923591,0.970181,1.08529,1.01951,1.09351,1.03048,1.02499,0.923591,0.9647,1.04144,1.18121,1.00307,1.05514,0.898925,0.841372,0.797522,0.808484,0.753672,0.638566,0.753672,0.912628,0.813966,0.959219,0.909887,0.819447,0.918109,0.956478,1.13188,0.890703,0.953737,1.06336,0.846853,0.959219,1.07981,0.868778,1.0387,0.912628,0.948256,0.923591,0.720784,0.824928,0.838631,0.679675,0.808484,0.877,0.904406,0.989366,0.866038,0.772856,0.868778,0.83315,0.896184,0.945516,0.907147,0.981144,0.904406,0.868778,0.885222,0.9647,0.707081,1.00033,0.994847,0.961959,0.983884,1.09625,0.893444,0.786559,0.909888,0.764634,0.9647,0.959219,0.696119,0.712563,0.682416,0.816706,0.970181,1.00033,0.811225,0.767375,0.742709,1.07981,0.857816,0.770116,0.797522,0.770116,0.931813,0.945516,0.918109,0.879741,0.786559,0.863297,0.983884,0.970181,0.918109,0.893444,0.855075,0.866038,0.970181,0.868778,0.849594,0.770116,0.953738,0.975663,1.02773,0.852334,0.718044,0.739969,0.775597,0.961959,0.83315,,193.157
