1~100,101~200,201~300,301~400,401~500,501~600,601~700,701~800,801~900,901~1000,1001~1100,1101~1200,1201~1300,1301~1400,1401~1500,1501~1600,1601~1700,1701~1800,1801~1900,1901~2000,2001~2100,2101~2200,2201~2300,2301~2400,2401~2500,2501~2600,2601~2700,2701~2800,2801~2900,2901~3000,3001~3100,3101~3200,3201~3300,3301~3400,3401~3500,3501~3600,3601~3700,3701~3800,3801~3900,3901~4000,4001~4100,4101~4200,4201~4300,4301~4400,4401~4500,4501~4600,4601~4700,4701~4800,4801~4900,4901~5000,5001~5100,5101~5200,5201~5300,5301~5400,5401~5500,5501~5600,5601~5700,5701~5800,5801~5900,5901~6000,6001~6100,6101~6200,6201~6300,6301~6400,6401~6500,6501~6600,6601~6700,6701~6800,6801~6900,6901~7000,7001~7100,7101~7200,7201~7300,7301~7400,7401~7500,7501~7600,7601~7700,7701~7800,7801~7900,7901~8000,8001~8100,8101~8200,8201~8300,8301~8400,8401~8500,8501~8600,8601~8700,8701~8800,8801~8900,8901~9000,9001~9100,9101~9200,9201~9300,9301~9400,9401~9500,9501~9600,9601~9700,9701~9800,9801~9900,9901~10000,10001~10100,10101~10200,10201~10300,10301~10400,10401~10500,10501~10600,10601~10700,10701~10800,10801~10900,10901~11000,11001~11100,11101~11200,11201~11300,11301~11400,11401~11500,11501~11600,11601~11700,11701~11800,11801~11900,11901~12000,12001~12100,12101~12200,12201~12300,12301~12400,12401~12500,12501~12600,12601~12700,12701~12800,12801~12900,12901~13000,13001~13100,13101~13200,13201~13300,13301~13400,13401~13500,13501~13600,13601~13700,13701~13800,13801~13900,13901~14000,14001~14100,14101~14200,14201~14300,14301~14400,14401~14500,14501~14600,14601~14700,14701~14800,14801~14900,14901~15000,15001~15100,15101~15200,15201~15300,15301~15400,15401~15500,15501~15600,15601~15700,15701~15800,15801~15900,15901~16000,16001~16100,16101~16200,16201~16300,16301~16400,16401~16500,16501~16600,16601~16700,16701~16800,16801~16900,16901~17000,17001~17100,17101~17200,17201~17300,17301~17400,17401~17500,17501~17600,17601~17700,17701~17800,17801~17900,17901~18000,18001~18100,18101~18200,18201~18300,18301~18400,18401~18500,18501~18600,18601~18700,18701~18800,18801~18900,18901~19000,19001~19100,19101~19200,19201~19300,19301~19400,19401~19500,19501~19600,19601~19700,19701~19800,19801~19900,19901~20000,,
2,2.01,2.025,2.00375,2.015,2.11125,2.08,2.21125,2.30625,2.32,2.17,2.1975,2.28125,1.96375,2.16625,2.2175,2.18,2.1125,1.87375,1.8625,1.87125,1.7875,1.65625,1.61,1.6,1.645,1.48375,1.435,1.41,1.67875,1.675,1.52625,1.435,1.4675,1.66625,1.445,1.32625,1.5275,1.29125,1.49875,1.3825,1.195,1.33125,1.33875,1.39125,1.50375,1.04,1.22125,1.19875,1.14125,1.3875,1.3925,1.22875,1.25875,1.24375,1.15,1.39875,1.12,1.1475,1.145,1.16875,1.085,1.46625,1.32,1.1,1.2525,1.09625,1.31375,1.425,1.47125,1.13625,1.14625,1.205,1.47625,1.355,1.10125,1.11375,1.2025,1.00875,1.125,1.09,1.2025,1.17625,1.0725,1.27125,1.0075,1.23375,1.05375,0.92875,1.0675,1.1775,1.22625,1.28125,1.03625,0.9175,1.0625,1.2,1.06375,1.2375,1.02875,1.08625,1.2725,1.04875,1.09,1.16,1.20625,1,1.04625,1.04375,1.2675,1.28125,1.29875,1.06875,0.9525,0.99125,1.06125,1.2525,1.28375,0.8525,1.10125,1.22125,1.1825,1.17875,1.16625,1.345,1.07,1.06125,1.0225,1.36875,1.09125,1.15125,1.07,0.9625,0.755,1.19375,0.89375,0.98875,0.92,0.93875,0.85625,1.135,0.88375,1.05375,0.995,0.99875,0.8725,0.9875,1.085,0.775,0.90625,0.89625,0.725,0.88125,0.8625,0.96625,0.91125,0.95125,0.825,1.02125,0.88625,0.84875,0.845,0.8075,0.9325,0.80625,0.8975,0.76,0.9025,0.91375,0.77375,0.85375,0.81625,0.74,0.7,0.84,0.945,0.7675,0.735,0.70875,0.84125,0.7125,0.685,0.7875,0.75,0.7075,0.8525,0.74875,0.88,0.87625,0.66375,0.84375,0.77125,0.64375,0.635,0.69125,0.66375,0.56125,0.74625,0.44,0.5625,,238.343
2,2.04125,2.0325,2.00625,2.085,2.05,2.07375,2.3325,2.2825,2.2575,2.0775,2.32875,2.13875,2.18875,2.40125,2.05875,2.00625,1.7275,2.01125,1.87875,1.76875,1.86875,1.95125,1.7775,1.6775,1.70625,1.73,1.64125,1.63625,1.68375,1.2325,1.48625,1.25625,1.64875,1.75,1.52375,1.62375,1.3875,1.19875,1.44125,1.35125,1.59,1.46,1.24875,1.20125,1.355,1.39375,1.52,1.43375,1.2125,1.1625,1.58625,1.48875,1.32875,1.2175,1.2825,1.2375,1.2375,1.39125,1.3075,1.095,1.32625,1.2825,1.2525,1.4925,1.31875,1.14125,1.28,1.17,1.43875,1.48875,1.3875,1.0575,1.17625,1.495,1.57375,1.02625,1.1125,1.35375,1.22,1.48875,1.185,1.04625,1.29,1.1825,1.11625,1.16875,1.3525,1.09375,0.8525,1.2875,1.16625,1.275,1.33875,1.10375,1.1275,1.02,0.9375,1.32625,1.1975,0.86875,0.89625,1.4125,1.145,1.0625,1.0875,1.20375,0.9725,1.22125,0.9825,1.21875,1.15125,0.82875,0.86625,1.0625,1.10375,1.0675,0.865,1.13,1.1,1.1525,0.9975,1.17125,0.91375,1.22375,1.0475,0.89875,1.21,1.04375,1.045,1.19625,1.11,1.01875,0.93125,1.05625,0.82125,0.91,1.12,0.99875,0.9475,1.1175,1.01875,0.77875,0.965,1.025,0.9225,0.9575,1.05,1.00875,0.94,0.96375,0.74375,0.87,0.8225,1.135,1.0325,0.865,1.0125,0.9575,0.9075,0.8025,0.7825,0.90125,0.82875,1.0225,0.71125,0.84375,0.7,0.88875,0.98875,0.75375,0.71375,0.8825,0.8725,0.88625,0.85,0.71875,0.7825,0.845,0.71375,0.8425,0.9575,0.69,0.7925,0.68125,0.80375,0.84375,1.15875,0.8375,0.64875,0.7075,0.71875,0.7025,0.7,0.69625,0.70875,0.74875,0.64625,0.625,0.6475,,243.02
2,2.0325,2.04375,2.0225,2.03125,2.09625,2.07875,2.29,2.45375,2.15,2.39,2.37625,2.16,1.91875,2.1075,1.9875,1.7275,1.92375,2.10125,1.74375,1.965,1.63875,1.88875,1.7425,1.375,1.465,1.5875,1.57625,1.555,1.42375,1.28125,1.34625,1.2725,1.27375,1.38,0.97,1.33125,1.2125,0.86125,1.2,1.2425,0.99,1.39625,1.205,1.38625,0.9375,0.9525,1.0625,1.2425,1.6675,1.41375,1.21375,1.20625,1.29,1.1775,1.79875,1.35875,1.34,1.11875,1.405,1.295,1.28,1.32125,1.275,1.1125,1.4275,1.3125,1.00625,1.38375,1.40125,1.13125,1.3825,1.21125,1.27125,1.30875,1.24375,1.21875,1.1775,1.04375,1.3225,1.3025,1.3125,1.13125,1.1625,1.2825,1.40875,1.53625,1.445,1.295,1.4725,1.4675,1.26375,1.27875,1.13,1.155,1.075,1.36875,1.33125,1.0875,1.045,0.905,1.38125,1.23,1.04375,1.19375,1.395,1.35625,1.39125,0.86875,1.11875,1.5,1.20625,1.1075,0.85625,1.08,1.24125,1.16,1.2575,1.2475,1.20125,1.33375,0.985,1.1625,1.2625,0.9675,1.16125,1.18875,0.98375,1.1775,1.3875,1.03625,1.05,1.20875,1.4075,1.21875,1.145,0.89875,1.0025,1.23375,1.51875,1.14625,1.08375,0.92875,0.965,1.10125,1.02625,1.02375,0.96125,0.77,0.97625,1.015,0.81125,0.98625,0.935,0.855,1.0275,0.865,0.96875,1.055,0.79,0.92125,0.98125,0.83625,0.99875,0.9625,0.6325,0.79625,0.85875,0.7825,0.8125,0.9275,0.85625,0.72125,0.71125,0.75375,0.84375,0.64,0.6975,0.6775,0.735,1,0.9675,0.7,0.5975,0.7025,0.72625,0.9475,0.7575,0.74625,0.665,0.65125,0.70375,0.6725,0.6275,0.6,0.66,0.83625,0.58,0.74125,0.71625,,243.171
2,2.02875,2.0125,2.01875,2.03875,2.08,2.16125,2.1675,2.275,2.38,2.195,2.24125,2.12625,1.89375,2.055,2.03,1.73875,1.95875,2.04875,1.88375,2.03625,1.63375,1.32875,1.985,1.70125,1.72625,1.32125,1.43375,1.3525,1.6675,1.20875,1.4675,1.43125,1.23625,1.085,1.3575,1.05125,1.2325,1.36,1.24625,1.2025,1.25125,1.13375,1.40875,1.35375,1.12625,1.06125,1.41125,1.2475,1.3875,1.1825,1.105,1.0775,1.495,1.1975,1.28875,1.20375,1.12625,1.3175,1.4375,1.185,1.29375,1.03375,1.37125,1.30125,1.3975,0.96625,1.18375,1.255,1.235,1.08375,1.145,1.1875,1.2875,1.20125,1.08,1.07125,1.29375,1.295,1.45625,1.00125,0.96125,1.14875,1.2625,1.2875,1.10625,0.8625,1.0875,1.38125,1.44875,1.03625,0.96875,0.9675,0.9825,1.16875,1.245,1.2075,1.19125,1,1.035,0.90625,1.26,1.04375,0.97875,1.1175,0.93,1.00125,1.2525,1.1075,1.28375,0.8075,0.92,0.9725,1.07,1.195,1.0675,1.1175,1.0775,1.06875,0.94,1.03,1.06,0.925,1.09,1.05625,0.915,1.1125,1.0575,1.0625,0.93625,0.9375,0.79875,1.065,1.22125,0.98375,0.7775,0.815,0.96125,1.05125,1.24,0.995,1.07625,0.94,0.9625,1.195,1.30875,1.1675,1.01125,0.91875,0.945,1.005,1.055,1.1425,0.89625,0.80625,0.96125,0.97875,0.87,0.90375,0.97625,0.8575,0.89,0.955,1.02625,0.9325,0.8325,0.82875,0.8875,0.89375,0.73875,0.8775,0.87625,0.75375,0.86125,0.74875,0.87125,0.64125,0.795,0.8925,0.775,0.775,0.67125,0.68375,0.7175,0.6375,0.68,0.705,0.76875,0.63625,0.8325,0.67875,0.57125,0.5875,0.54,0.61875,0.5725,0.6075,0.6075,0.54,0.565,,233.145
2,2.055,2.03625,1.995,2.02625,2.15625,2.0925,2.23125,2.22,2.485,2.205,2.23,2.01,2.295,1.945,1.685,2.18,1.87,1.73,1.84875,1.88125,1.8025,1.94625,1.61,1.3625,1.6725,1.645,1.1675,1.57625,1.61875,1.2625,1.14375,1.63125,1.11,1.4375,1.16375,1.1675,1.325,1.41125,1.30625,1.23625,1.32,1.30375,1.3225,1.42875,1.0225,1.2275,1.4825,1.2525,1.335,1.1225,1.22375,1.47625,1.1475,1.075,1.37625,1.2175,1.36875,1.3225,1.25125,1.23125,1.33375,1.20125,1.275,1.2875,1.32875,1.125,0.85125,1.1875,1.56625,1.37,0.89,1.115,1.05875,1.35625,1.0375,1.19,1.15625,1.2775,1.205,0.98875,1.40625,1.32,1.22875,1.3025,1.02875,1.10125,1.30125,1.40375,1.2875,1.24875,1.4325,1.18,1.175,1.59375,1.48625,1.2575,1.38875,1.1425,1.1875,1.41,1.1425,1.05125,1.3875,1.345,1.125,1.19375,1.28125,1.01125,1.22125,1.325,1.1275,1.0825,0.95875,0.97375,1.085,1.13875,1.10375,1.27625,0.895,1.16125,1.145,0.9475,0.95875,1,0.92625,0.9525,1.10375,1.12625,0.94,1.02125,0.9625,0.96875,0.99875,1.23125,1.0725,1.09125,0.8775,0.955,1.1,0.8325,0.94625,1.12,1.09875,0.93625,0.87,0.91875,1.125,0.96625,0.91875,1.00125,0.97125,0.7325,0.92125,1.09875,1.03625,0.93625,0.9125,0.9375,1.05875,1.11875,0.7525,0.855,0.94375,0.87375,0.76875,0.75875,0.94625,0.85625,0.8625,0.91625,0.78,0.90375,0.91625,0.80125,0.8375,0.70375,0.76,0.79375,0.715,0.9675,0.7825,0.7,0.795,0.665,0.6125,0.7,0.71,0.67125,0.71625,0.65,0.7325,0.805,0.725,0.6475,0.7225,0.60625,0.5225,0.61,0.62375,,239.397
2,2.0275,2.0275,2.0025,2.03625,2.15125,2.08875,2.235,2.40625,2.22375,2.28875,2.21875,2.2425,1.83875,2,2.23625,1.98625,2.1075,1.92625,1.79375,1.855,1.9575,1.4225,1.70375,1.825,1.67875,1.55125,1.27875,1.48375,1.61125,1.37,1.21875,1.55125,1.34125,1.365,1.42125,1.1175,1.165,1.5175,1.30625,1.25625,1.4075,1.22,1.23,1.1575,1.3075,1.5025,1.445,1.175,1.195,1.43375,1.275,1.4275,1.1925,1.28,1.36625,1.505,1.485,1.29,1.07875,1.0375,1.49625,1.1075,1.12125,1.2575,1.38875,1.36125,1.13125,1.485,1.4,1.4175,1.0125,1.35625,1.43875,1.49875,1.22,1.32375,1.0975,1.07875,1.325,1.34875,1.36625,1.31,1.15625,1.355,1.04875,1.31875,1.29125,1.425,1.18375,1.0925,1.22375,1.56125,1.25,1.30125,1.285,1.1225,1.09625,1.2575,1.21,1.44875,1.1325,1.33,1.2225,1.175,1.13875,1.25625,1.24625,1.20375,1.185,1.14,1.3475,1.0875,1.3075,1.07375,1.19625,1.14125,1.22,1.16125,1.3125,1.14,1.35625,1.02375,0.96,0.7325,1.00625,0.87625,1.07,1.0275,0.9275,0.97125,1.075,1.0175,1.06125,1.00125,1.01875,0.865,1.25625,1.0025,1.25875,1.15625,0.8,0.83875,1.51875,1.00625,0.8475,1.1025,0.7825,0.91,1.08875,0.8725,1.015,1.06125,0.98,0.99875,0.935,1.07625,1.1025,1.015,0.95125,1.07125,0.84125,0.89875,1.0625,0.8825,1.01125,0.83375,0.90375,0.9825,0.98875,0.97125,1.1,0.9925,0.68125,0.82,0.9425,0.96375,0.91625,0.88375,0.7975,0.92875,0.7925,1.18875,0.9375,0.75875,0.90625,0.665,0.80625,0.9325,0.605,0.79,0.81875,0.75375,0.6775,0.61875,0.69875,0.61,0.55625,0.4925,0.61875,,247.301
2,2.01,2.02125,2.0425,2.08375,2.135,2.11125,2.10875,2.08125,2.21125,2.09625,2.26375,2.105,2.00375,2.1625,2.02125,2.21625,2.1975,1.92375,2.16625,1.75625,2.02875,1.82875,1.96375,1.7125,1.4925,1.93375,1.4975,1.60875,1.5075,1.70125,1.82125,1.70625,1.34875,1.42625,1.235,1.4175,1.42375,1.42125,1.21875,1.24125,1.3125,1.43875,1.5225,1.23875,1.28625,1.10625,0.88625,1.30875,1.275,1.35875,1.34875,1.1425,1.18625,1.7325,1.31375,1.3875,1.27625,1.16125,1.23125,1.13375,1.36375,1.24375,1.45125,1.19125,1.3725,1.3125,0.97375,1.1375,1.2025,1.29375,1.3825,1.2275,1.37625,1.33375,1.23625,1.22625,1.18875,1.24375,1.21,1.115,1.5525,1.055,1.24,1.27625,1.22875,1.48,1.31625,1.085,1.10625,1.06125,1.1625,1.15875,1.09875,0.9,1.31625,1.28,1.14375,1.25625,0.85375,1.13375,1.08375,1.13125,0.8525,1.12625,1.2375,1.0075,1.1725,0.9325,1.0775,1.04,1.09,1.27,1.14,1.04,1.14,1.15125,1.17875,1.08625,1.0325,1.055,1.0925,1.03,1.14375,1.11375,1.18125,1.1775,1.01375,0.96125,1.19375,1.2925,1.08375,0.9975,1.02,0.97375,1.07375,1.0775,0.94875,1.245,1.31625,0.985,0.95375,1.15625,1.1575,1.15125,1.265,0.91375,0.96,0.975,1.11375,0.85,0.92,0.9175,0.90125,0.98875,0.9075,0.7625,0.87375,0.835,0.93625,0.86,0.86625,0.83875,0.87,0.99875,0.885,0.885,1.01625,0.89625,0.80875,0.6875,0.79625,0.9475,0.92875,0.77625,0.73625,1,0.7575,0.73375,0.89375,0.75125,0.72875,0.8225,0.775,0.625,0.58,0.7525,0.59125,0.7175,0.72875,0.73625,0.7575,0.7775,0.495,0.61125,0.62125,0.70125,0.6175,0.49,0.455,,242.51
2,2.0075,2.01375,2.01625,2.02875,2.10625,2.09625,2.14625,2.23875,1.99625,2.0625,2.23125,2.2925,1.99,2.125,1.97875,1.82375,1.8075,1.8625,1.8625,1.915,1.96375,1.67875,1.6475,1.63625,1.56375,1.49125,1.89,1.56375,1.1,1.24875,1.3275,1.25625,1.48,1.08125,1.03625,1.295,1.1825,1.47875,1.3575,1.31625,1.1425,1.175,0.975,1.36875,1.55875,1.19625,1.0725,1.2825,1.23125,1.46625,1.36125,1.115,1.19,1.35,1.35625,1.19875,1.24625,1.3575,1.2325,1.08625,1.515,1.1875,1.2675,1.1425,1.2175,1.14625,1.18125,1.4,1.47625,1.23875,1.12,1.28625,1.2675,1.345,1.47,1.47,1.28375,1.35,1.27625,1.2825,1.53375,1.25125,1.3475,1.23875,1.155,1.4775,1.46625,1.24125,1.43875,1.22,1.2725,1.255,1.25625,1.42375,1.1075,1.12875,1.0525,1.06625,1.14625,1.03375,0.9725,1.07625,1.21125,1.2325,1.03125,1.065,1.2675,0.995,1.35375,1.1425,1.0675,1.2525,1.04,1.0725,1.15875,1.1975,0.885,1.27,1.1125,1.1875,0.97,0.9575,1.34875,1.245,1.1075,0.99375,1.0575,1.1575,1.1375,1.07625,1.1725,1.11125,1.17125,0.8025,0.96375,1.00625,1.06875,1.22375,1.14,0.85625,1.08375,1.18,1.11875,0.90625,1.09,1.03625,1.10875,0.85625,0.80625,1.00625,1.15625,0.92,0.91125,0.81,0.99875,0.8525,0.9175,0.95125,0.88375,0.94625,0.95375,0.91375,0.925,1.21875,0.89,0.815,0.8675,0.9625,0.85125,0.7425,0.8575,1.03125,0.8675,1.09,1.0525,0.9,0.795,0.835,0.85375,0.94625,0.67625,0.7775,0.695,0.8225,0.65625,0.68,0.7375,0.785,0.92375,0.6075,0.61125,0.785,0.8,0.7375,0.67,0.575,0.53125,0.64625,0.47375,,242.454
2,2.0275,2.01375,2.01375,2.065,2.06125,2.15625,2.11625,2.2975,2.1375,2.21375,2.13625,2.33125,1.82625,2.16,1.85375,2.08875,1.9975,1.88,1.925,1.79875,1.67125,1.8,1.67875,1.345,1.38375,1.67875,1.56625,1.46375,1.375,1.355,1.3325,1.76,1.5775,1.0125,1.4025,1.37875,1.1425,1.5325,1.075,1.0975,1.12375,1.07,1.1575,1.325,1.1375,1.1275,1.13125,1.44125,0.96,1.275,1.1725,1.25,1.215,1.33625,1.17125,1.2325,1.10625,1.14875,1.35125,1.2575,1.3,1.08125,0.98,1.35875,1.36625,0.99375,1.14125,1.20625,1.48375,1.0175,1.25125,1.44875,1.48875,1.34125,0.99375,1.0875,1.35,1.42375,1.65125,1.1275,1.2075,1.13375,1.63875,1.1975,1.39375,1.26125,1.23375,1.07125,1.33125,1.1625,1.19125,1.13375,1.25,1.07875,1.31125,0.99375,1.05,1.25125,1.1925,0.925,1.0875,1.1525,1.145,1.43375,1.30875,1.065,1.25,1.36,1.10125,0.97375,0.815,1.1575,1.04625,1.06,1.09,1.1125,1.07625,0.8825,0.835,1.25625,1.02125,0.8775,1.14375,1.0075,1.07,1.1325,1.0225,0.76875,0.77625,0.92,0.9125,0.95,1.06125,0.97875,0.91625,1.04125,0.97875,1.25,1.28,0.82875,0.92375,1.0275,1.24,1.1725,1.23,1.1175,1.00625,0.91375,1.13625,1.0475,1.04875,0.78,1.00625,1.12,1.09,0.795,0.895,0.99375,1.035,0.98625,1.00375,1.1225,0.96,0.7675,1.01875,1.14875,1.0025,0.69375,0.96625,0.8775,0.84625,0.8275,0.88375,0.87875,0.91375,0.70625,0.7475,0.835,0.735,0.71,0.84625,0.795,0.73625,0.81625,0.7925,0.7225,0.78375,0.725,0.90375,0.8875,0.85125,0.75625,0.6325,0.61,0.8825,0.755,0.57375,0.49125,0.54875,,239.286
2,2.02875,2.02875,2.05375,2.06625,2.0425,2.21375,2.255,2.275,1.99125,2.0925,2.11125,2.305,1.84625,1.9625,1.88375,1.93875,1.89125,1.8075,2.05,1.44125,1.74375,1.6825,2.03125,1.68875,1.40375,1.565,1.66875,1.5125,1.56375,1.17375,1.34,1.57875,1.3975,1.58625,1.16625,1.32125,1.33875,1.12125,1.26125,1.34875,1.3875,1.2125,1.05375,1.1,1.58,1.15375,1.29625,1.1525,1.17875,1.58125,1.15375,1.49125,1.24625,1.1875,1.3075,1.3,1.29,1.29125,1.45,1.625,1.04375,1.14375,1.225,1.5,1.4425,1.31375,1.0475,1.42,1.3525,1.2875,1.355,1.4075,1.255,1.595,1.20875,1.08625,1.385,1.2225,1.14,1.36625,1.2675,1.335,1.20375,1.185,1.18125,1.1675,1.3475,1.3,1.41125,1.4575,1.29125,1.10375,1.5,1.23,1.48125,1.31875,1.055,1.2925,1.3875,1.17625,1.195,1.06375,1.13,1.255,1.3,1.08875,1.0075,1.14875,1.0675,1.3525,1.5025,1.26125,0.98625,1.16375,1.39125,1.2475,1.14625,1.18125,0.995,1.045,1.265,1.3325,1.13875,0.90625,0.87625,0.995,1.0225,1.26875,1.1,1.17875,1.0775,1.04375,0.8525,0.9075,0.71875,1.2475,1.14,0.8875,0.86375,0.98625,1.0975,1.17,0.82125,0.915,0.745,0.75875,0.9275,1.0775,0.78625,0.78,0.835,0.6475,0.805,1.17,0.9675,0.71375,0.72375,1.0025,0.92625,0.87375,0.85375,0.80875,0.8825,0.7475,0.70875,0.96875,0.805,0.79,0.8975,0.89,0.92,1.01125,0.9575,0.82875,0.935,0.82,0.76875,0.755,0.6675,0.8025,0.73875,0.64125,0.6325,0.84375,0.7325,0.67875,0.69875,0.84375,0.7825,0.77,0.7375,0.72625,0.7275,0.73125,0.60625,0.70875,0.6775,0.60625,0.69875,,241.79
