,TRUE,,1,
1,0.5,,0.5,
2,0.531445,,0.5325,
3,0.562767,,0.5625,
4,0.593841,,0.595,
5,0.624545,,0.625,
6,0.654758,,0.655,
7,0.684362,,0.685,
8,0.71324,,0.7125,
9,0.741277,,0.7425,
10,0.768363,,0.7675,
11,0.794393,,0.795,
12,0.819262,,0.82,
13,0.842874,,0.8425,
14,0.865134,,0.865,
15,0.885957,,0.885,
16,0.905258,,0.905,
17,0.922964,,0.9225,
18,0.939003,,0.94,
19,0.953314,,0.9525,
20,0.965838,,0.965,
21,0.976528,,0.9775,
22,0.985342,,0.985,
23,0.992244,,0.9925,
24,0.997207,,0.9975,
25,1.00021,,1,
26,1.00125,,1.0025,
27,1.00031,,1,
28,0.997407,,0.9975,
29,0.992544,,0.9925,
30,0.985742,,0.985,
31,0.977028,,0.9775,
32,0.966438,,0.9675,
33,0.954014,,0.955,
34,0.939803,,0.94,
35,0.923864,,0.925,
36,0.906258,,0.9075,
37,0.887057,,0.8875,
38,0.866334,,0.8675,
39,0.844174,,0.845,
40,0.820662,,0.82,
41,0.795893,,0.795,
42,0.769963,,0.77,
43,0.742977,,0.7425,
44,0.71504,,0.715,
45,0.686262,,0.6875,
46,0.656758,,0.6575,
47,0.626645,,0.6275,
48,0.596041,,0.595,
49,0.565067,,0.565,
50,0.533845,,0.535,
51,0.5025,,0.5025,
52,0.471155,,0.47,
53,0.439933,,0.44,
54,0.408959,,0.41,
55,0.378355,,0.3775,
56,0.348242,,0.3475,
57,0.318738,,0.3175,
58,0.28996,,0.29,
59,0.262023,,0.2625,
60,0.235037,,0.235,
61,0.209107,,0.21,
62,0.184338,,0.185,
63,0.160826,,0.16,
64,0.138666,,0.1375,
65,0.117943,,0.1175,
66,0.0987415,,0.0975,
67,0.081136,,0.08,
68,0.0651967,,0.065,
69,0.0509865,,0.05,
70,0.0385618,,0.0375,
71,0.0279717,,0.0275,
72,0.0192584,,0.02,
73,0.0124564,,0.0125,
74,0.00759265,,0.0075,
75,0.00468664,,0.005,
76,0.00375,,0.005,
77,0.00478664,,0.005,
78,0.00779265,,0.0075,
79,0.0127564,,0.0125,
80,0.0196584,,0.02,
81,0.0284717,,0.0275,
82,0.0391618,,0.04,
83,0.0516865,,0.0525,
84,0.0659967,,0.065,
85,0.082036,,0.0825,
86,0.0997415,,0.1,
87,0.119043,,0.12,
88,0.139866,,0.14,
89,0.162126,,0.1625,
90,0.185738,,0.185,
91,0.210607,,0.21,
92,0.236637,,0.2375,
93,0.263723,,0.2625,
94,0.29176,,0.2925,
95,0.320638,,0.32,
96,0.350242,,0.35,
97,0.380455,,0.38,
98,0.411159,,0.41,
99,0.442233,,0.4425,
100,0.473555,,0.4725,
101,0.505,,0.505,
102,0.536445,,0.5375,
103,0.567767,,0.5675,
104,0.598841,,0.6,
105,0.629545,,0.63,
106,0.659758,,0.66,
107,0.689362,,0.69,
108,0.71824,,0.7175,
109,0.746277,,0.7475,
110,0.773363,,0.7725,
111,0.799393,,0.8,
112,0.824262,,0.825,
113,0.847874,,0.8475,
114,0.870134,,0.87,
115,0.890957,,0.89,
116,0.910258,,0.91,
117,0.927964,,0.9275,
118,0.944003,,0.945,
119,0.958314,,0.9575,
120,0.970838,,0.97,
121,0.981528,,0.9825,
122,0.990342,,0.99,
123,0.997244,,0.9975,
124,1.00221,,1.0025,
125,1.00521,,1.005,
126,1.00625,,0.995,
127,1.00531,,0.99,
128,1.00241,,0.995,
129,0.997544,,0.99,
130,0.990742,,0.9925,
