1~100,101~200,201~300,301~400,401~500,501~600,601~700,701~800,801~900,901~1000,1001~1100,1101~1200,1201~1300,1301~1400,1401~1500,1501~1600,1601~1700,1701~1800,1801~1900,1901~2000,2001~2100,2101~2200,2201~2300,2301~2400,2401~2500,2501~2600,2601~2700,2701~2800,2801~2900,2901~3000,3001~3100,3101~3200,3201~3300,3301~3400,3401~3500,3501~3600,3601~3700,3701~3800,3801~3900,3901~4000,4001~4100,4101~4200,4201~4300,4301~4400,4401~4500,4501~4600,4601~4700,4701~4800,4801~4900,4901~5000,5001~5100,5101~5200,5201~5300,5301~5400,5401~5500,5501~5600,5601~5700,5701~5800,5801~5900,5901~6000,6001~6100,6101~6200,6201~6300,6301~6400,6401~6500,6501~6600,6601~6700,6701~6800,6801~6900,6901~7000,7001~7100,7101~7200,7201~7300,7301~7400,7401~7500,7501~7600,7601~7700,7701~7800,7801~7900,7901~8000,8001~8100,8101~8200,8201~8300,8301~8400,8401~8500,8501~8600,8601~8700,8701~8800,8801~8900,8901~9000,9001~9100,9101~9200,9201~9300,9301~9400,9401~9500,9501~9600,9601~9700,9701~9800,9801~9900,9901~10000,10001~10100,10101~10200,10201~10300,10301~10400,10401~10500,10501~10600,10601~10700,10701~10800,10801~10900,10901~11000,11001~11100,11101~11200,11201~11300,11301~11400,11401~11500,11501~11600,11601~11700,11701~11800,11801~11900,11901~12000,12001~12100,12101~12200,12201~12300,12301~12400,12401~12500,12501~12600,12601~12700,12701~12800,12801~12900,12901~13000,13001~13100,13101~13200,13201~13300,13301~13400,13401~13500,13501~13600,13601~13700,13701~13800,13801~13900,13901~14000,14001~14100,14101~14200,14201~14300,14301~14400,14401~14500,14501~14600,14601~14700,14701~14800,14801~14900,14901~15000,15001~15100,15101~15200,15201~15300,15301~15400,15401~15500,15501~15600,15601~15700,15701~15800,15801~15900,15901~16000,16001~16100,16101~16200,16201~16300,16301~16400,16401~16500,16501~16600,16601~16700,16701~16800,16801~16900,16901~17000,17001~17100,17101~17200,17201~17300,17301~17400,17401~17500,17501~17600,17601~17700,17701~17800,17801~17900,17901~18000,18001~18100,18101~18200,18201~18300,18301~18400,18401~18500,18501~18600,18601~18700,18701~18800,18801~18900,18901~19000,19001~19100,19101~19200,19201~19300,19301~19400,19401~19500,19501~19600,19601~19700,19701~19800,19801~19900,19901~20000,
2,2.01,2.025,2.00375,7.47625,10.5612,11.0525,8.1975,7.26875,10.2975,13.125,13.6062,15.6713,12.9162,15.1288,14.2125,15.1375,14.55,14.8075,16.7312,16.7463,11.735,11.5263,15.4825,13.955,16.525,18.42,16.8625,15.2825,19.9625,15.5537,16.4763,16.24,19.3363,12.055,15.3225,21.1525,19.3338,19.65,19.4062,21.205,17.5025,19.6913,15.2475,21.2538,20.3137,19.3613,18.4113,23.9137,17.4713,20.1,21.7338,14.6338,21.5763,20.535,22.0663,20.21,21.4013,21.365,25.3238,24.3263,26.2713,21.2513,26.975,21.7875,23.0325,29.8775,26.9513,25.2075,28.4388,24.3963,26.4825,22.8825,24.34,25.675,30.32,26.825,26.8025,25.2288,30.6438,25.38,27.8888,32.91,23.7575,27.4587,30.8563,34.5525,33.8212,27.1675,31.325,30.5413,34.0662,29.5388,24.8925,30.1825,38.6775,33.4262,33.2875,26.9138,29.1738,37.3062,37.4862,28.4925,29.3513,30.2788,36.9175,33.2288,34.22,30.3275,29.9525,28.795,33.8738,31.8213,38.065,35.7225,41.3875,32.21,33.37,32.9525,33.7137,37.3912,34.3587,34.8338,35.2975,40.82,38.6487,32.4175,38.8662,35.41,31.4013,40.8262,41.17,35.5637,39.5063,36.5325,33.4862,36.7737,39.16,39.055,39.065,39.2913,36.5437,39.6112,38.2088,42.1112,43.6863,42.6687,38.14,41.035,50.1025,39.5288,42.8238,41.5337,43.5375,45.8237,47.1262,41.64,38.9262,38.8263,44.185,39.7088,40.515,42.0112,39.7112,46.6475,39.1163,46.9413,40.9213,46.455,48.3863,41.8913,46.97,39.46,40.96,43.905,50.295,44.5162,42.4225,47.33,49.5275,50.84,43.3375,43.34,51.3388,47.8075,48.4212,47.9412,45.0738,49.3913,48.8563,48.2125,48.7075,49.935,55.8813,51.8088,42.8337,49.3687,56.9537,53.815,54.5137,,6178.13
2,2.04125,2.0325,2.505,5.53125,8.055,7.56,7.81625,9.76625,9.73125,11.035,13.1988,15.0125,13.6062,14.8525,15.03,14.9812,10.7163,13.935,17.7487,17.165,18.6788,16.8038,13.2063,14.0888,17.0488,14.6813,11.5462,14.9475,14.9913,16.1138,16.4925,16.715,20.0875,18.6563,13.9925,12.5138,15.7937,19.515,22.245,19.2213,14.005,17.3062,21.4537,18.4675,16.2287,23.7313,17.3525,19.7088,22.9975,18.0238,24.825,23.6738,21.0425,20.005,23.58,18.0313,22.1025,19.1525,30.4337,19.925,19.1763,24.0125,26.0875,25.02,22.0813,25.4188,26.6725,24.065,21.5863,25.6512,26.1963,29.2775,27.4063,24.2475,31.5863,25.89,29.4238,26.48,26.7163,28.665,29.5688,28.8675,26.675,18.585,25.7612,34.4787,30.1638,29.795,24.1663,30.4588,34.0112,31.615,24.68,33.785,27.9425,33.5888,25.03,33.0863,29.4138,34.6437,28.2112,30.0788,27.4863,32.6825,28.2875,33.4813,25.74,32.8438,33.62,31.4788,31.4125,33.2063,35.08,31.6575,35.3825,34.9,34.6637,38.6275,39.2862,32.3438,34.1213,33.23,34.8825,37.7338,38.1425,31.595,37.575,34.77,36.6662,38.7013,41.1263,34.3225,38.1862,39.7063,37.5012,34.745,36.2325,39.12,47.005,41.68,45.2525,38.5162,41.04,40.095,40.79,39.685,39.3087,35.215,40.0412,42.49,39.875,37.085,36.0775,37.4537,43.1375,42.8887,42.1425,41.6738,44.1425,42.6938,39.095,39.3638,41.5213,41.7237,36.995,47.485,42.3212,44.9037,40.295,46.45,39.5713,43.7225,38.5787,47.5475,43.0912,45.43,40.4562,46.2162,46.4175,43.0337,39.1638,33.9763,47.6025,47.0738,45.1212,45.675,44.15,44.3925,47.7588,50.29,51.68,50.9263,48.5313,56.5525,46.9288,42.5713,51.98,50.955,44.5725,,6006.92
2,2.0325,2.04375,3,6.5325,9.1025,8.57375,9.2775,4.445,9.615,13.2725,14.26,13.1,12.4012,15.075,16.955,15.6875,14.9,16.0287,16.6588,13.4363,14.5463,15.8163,14.6975,14.2525,17.31,18.4763,16.8838,17.3475,19.1825,16.5512,18.605,13.1713,16.13,19.7,17.8775,19.6012,19.4263,21.6863,23.0325,19.1287,18.81,18.7275,20.505,25.0863,22.74,17.3175,21.3888,23.4987,21.4913,18.7038,25.3338,20.9025,22.0525,18.0138,24.49,24.5625,23.1113,17.4738,27.4638,30.86,26.0263,25.0612,21.5837,28.2813,26.0825,28.1037,28.1313,23.645,26.9237,32.0987,29.0825,27.085,24.1225,25.6175,29.8225,29.9075,24.0888,21.9013,30.4163,28.8663,35.4325,31.7363,29.915,24.4113,28.9825,33.6475,32.7488,30.74,24.2663,30.7213,35.3438,30.4588,33.8112,32.8025,34.5637,32.6363,36.5775,31.7987,32.6963,32.6862,39.6713,31.8312,32.0363,34.2087,36.0437,30.5675,36.3187,31.9763,35.7662,32.9237,34.1863,32.2363,32.145,34.205,36.7462,33.0825,32.7925,34.4525,38.2962,35.2562,32.1188,39.9337,37.6338,36.9162,36.0887,39.5763,37.4887,37.0912,35.8062,36.6675,38.2263,39.1863,42.8463,41.2037,43.8475,38.9487,39.47,42.6875,43.56,42.1187,36.0025,38.5562,36.9725,41.1812,37.6187,43.9887,39.4075,44.06,42.1925,46.5763,39.4137,43.8875,38.5713,49.0962,42.79,42.0825,42.0037,39.6863,47.83,44.1538,40.275,35.0013,45.53,45.1312,44.9088,43.9,43.45,44.975,46.4,42.6363,45.6125,44.5063,42.0213,46.9025,45.0512,43.8313,45.435,48.4575,45.55,41.21,49.5613,48.3863,46.3837,44.0362,50.4063,55.2613,39.4212,49.3787,53.325,48.4413,48.9437,57.74,50.73,51.3763,55.41,48.9875,55.7313,50.39,56.02,,6330.12
2,2.02875,2.0125,3.00125,5.04125,7.08,6.155,13.1,11.2475,10.3687,12.6525,14.1838,12.6087,12.365,11.5375,14.47,12.6688,14.42,11.5575,16.855,16.485,15.0425,16.29,16.4975,16.6512,17.0838,19.62,20.7675,15.7037,19.025,23.0288,20.4138,16.3163,18.1438,19.485,20.3175,14.94,22.9913,22.6012,22.6525,19.6025,20.0738,21.4025,22.8163,24.715,21.4887,17.4075,29.6388,24.4838,24.1375,21.0413,25.3125,27.62,18.92,24.55,25.5738,23.455,27.3288,25.485,24.7725,28.4587,25.5388,23.31,26.435,26.575,20.6775,23.26,23.3638,26.495,21.5675,23.9213,23.4125,21.2325,20.3263,28.2763,24.875,24.3362,21.9788,27.9825,23.5563,23.3175,27.1725,25.7738,23.8263,28.8863,28.4588,29.6563,33.7875,30.1388,28.7125,30.26,33.6863,31.7563,29.1913,33.2525,33.3588,36.5663,30.4438,31.7375,32.63,36.6737,35.4475,33.7913,30.675,35.2825,31.7438,37.82,38.4738,33.3275,33.3325,38.475,29.075,37.755,38.71,38.895,38.1025,32.8212,35.4775,36.8712,38.2013,37.2363,37.1525,32.6313,33.6512,34.3037,39.2525,39.7925,38.65,37.1537,44.0737,34.7038,38.1275,40.6925,41.6038,38.1787,37.3838,38.8238,37.5812,40.79,41.9337,37.115,37.17,36.0175,35.255,41.3838,41.5513,43.545,40.6025,38.0463,43.0825,40.6125,38.3237,42.7875,43.675,40.2037,42.2263,35.8063,41.13,43.2375,42.1312,43.26,45.1625,39.2675,42.6987,38.6025,45.0513,44.6313,41.76,45.3788,45.6262,47.7738,49.9475,41.0612,46.0325,44.355,50.4225,43.5025,37.0087,41.1675,50.0375,47.5037,42.9013,44.3038,53.24,43.2637,48.0737,43.3913,51.9012,54.3238,54.5687,52.22,44.3225,52.3775,52.8725,48.8862,53.23,47.7525,50.8487,55.2463,47.3038,,6277.28
2,2.055,2.03625,2.98,6.01125,10.1425,7.065,7.71375,7.2225,12.4287,11.6575,13.6562,13.8937,13.6937,10.4187,9.07625,14.0725,13.3,14.6137,13.8025,15.375,8.7775,12.8788,16.515,15.7938,15.545,18.9988,19.0038,18.3575,19.42,18.6225,22.9838,13.0388,17.975,16.3075,20.4625,19.51,16.6788,21.12,25.1138,18.1413,20.6,22.6062,24.0475,17.33,21.4588,20.0625,18.8788,18.0863,18.1713,19.4425,22.4213,23.2388,20.9475,23.2463,26,24.3588,23.955,24.37,26.2988,21.8538,25.8925,24.9625,20.6213,26.38,30.4875,28.9038,22.725,22.5412,29.0325,25.0363,22.68,25.94,26.7688,20.14,24.8013,30.8538,25.995,23.555,24.9287,27.05,31.5363,28.6412,28.115,22.6975,28.32,33.1963,29.4575,23.23,28.52,34.0175,31.0775,33.2512,27.765,34.7475,34.5,38.0913,34.3937,33.5613,33.01,32.2413,38.6538,34.7025,30.61,33.245,38.0937,38.8725,30.5038,36.3312,33.1887,33.4,35.5287,36.2713,34.9975,41.485,36.6212,38.6225,35.015,41.4038,45.6713,37.375,33.45,27.135,39.68,40.5312,40.0613,35.1462,40.7075,37.24,41.955,39.1937,40.9612,34.6725,39.615,37.3213,40.1938,42.1875,35.7012,41.0737,45.815,39.8762,40.5512,40.575,34.3525,45.1887,45.1588,41.1075,37.3937,40.0887,49.0175,44.6675,40.4175,37.5,39.6737,51.2788,45.3213,38.5825,40.0413,42.6375,39.7238,47.27,43.9575,46.0462,45.0113,42.8338,43.8913,45.86,47.0563,46.5425,43.555,45.7475,46.3887,44.6162,44.605,43.0237,44.8825,49.4087,46.7863,48.0412,49.5387,45.2338,47.0625,46.5325,45.415,49.7587,52.7288,46.1575,49.1375,50.775,45.1913,44.8362,50.5838,57.3037,48.85,49.88,51.4425,49.9225,49.845,57.8675,42.3025,,6317.77
2,2.0275,2.0275,2.9975,6.53375,9.14125,9.05875,7.705,6.36875,8.69,13.6975,17.0975,13.2075,9.80875,11.9887,11.2137,16.4013,14.5613,13.8175,15.7088,18.205,16.3625,15.8238,16.5975,15.2875,18.085,17.9413,17.245,15.8538,18.3975,20.13,18.0225,15.5025,20.6863,20.28,21.2713,16.9625,17.4375,23.3563,17.2275,16.1412,22.6875,22.0437,21.0738,18.8838,20.1613,18.9225,19.7112,18.4875,19.0087,19.3025,24.1875,26.195,22.8138,16.6025,22.655,22.7813,26.29,22.5625,23.865,23.9275,27.7675,22.3538,23.5138,26.4888,26.1275,32.7113,25.4613,25.735,26.09,32.015,22.7825,25.71,24.5725,30.56,28.255,29.5112,30.7975,26.6587,24.4125,29.4812,28.0875,31.1513,30.27,22.6137,25.8238,31.4375,29.9025,32.5213,29.9288,28.3238,31.4113,35.2937,28.7663,30.4887,33.415,31.2238,30.7075,37.1963,35.5213,32.7487,29.345,33.0763,29.835,31.7338,32.315,33.535,34.29,35.7387,34.7763,34.6775,34.475,35.3375,38.285,37.0975,36.1787,35.605,34.8425,36.3388,37.2912,37.3863,36.4825,32.7013,36.8387,35.4988,41.515,43.47,34.7837,36.15,41.11,38.3363,37.3638,36.2013,38.2213,33.1088,43.165,42.4275,38.9588,38.7638,42.9662,37.3425,44.0363,34.6088,41.7075,43.715,43.2,36.285,40.0287,42.0675,39.8062,36.15,42.6987,34.8575,34.645,43.1412,39.5463,41.5138,40.5912,37.5075,41.2025,38.8313,35.1462,43.75,42.2487,41.6412,42,40.4475,43.6425,49.2475,46.2563,42.6175,47.1563,40.6275,46.8488,41.8838,39.9875,48.7913,46.5137,41.0388,40.5175,38.2563,43.105,47.8075,43.2438,48.065,48.1075,49.3125,46.8675,53.8763,41.4187,59.3112,51.0125,56.005,51.3625,49.8962,54.4775,55.3975,55.4525,56.895,61.3938,,6246.2
2,2.01,2.02125,4.0325,7.07625,7.1325,9.5775,8.58625,11.0538,9.165,10.0562,12.745,13.0475,11.4775,14.125,14.4687,17.0612,15.5863,14.3237,17.5625,16.09,15.39,19.6663,13.8363,15.5738,21.3725,16.855,19.83,19.9538,19.4275,22.035,16.645,13.6125,18.7513,20.3225,18.6438,18.2825,22.2413,21.66,17.135,17.0375,23.0938,22.245,15.8325,19.6163,22.5788,18.9175,18.2275,17.62,19.5888,20.1425,24.0563,25.3538,17.39,22.8563,20.6613,20.7463,21.1337,19.4113,25.97,26.8688,20.16,17.63,25.6388,22.9225,26.1538,22.5625,23.2325,23.8475,28.2938,25.995,24.6013,24.7938,30.3325,25.4762,23.5075,25.4638,25.485,23.1175,27.9488,25.4638,26.8588,28.8525,28.3313,27.9763,29.3313,33.625,35.5038,27.355,25.3175,34.1687,35.8512,33.2188,29.93,27.6725,34.3862,34.4275,27.8,29.885,30.61,32.2075,32.675,36.0675,25.0738,30.0838,33.0087,34.205,35.65,33.5125,35.43,33.1987,36.3775,34.375,32.7488,37.69,28.5138,35.445,35.8687,33.8663,33.7312,38.0725,36.3225,35.1375,37.2863,37.1362,38.1,41.4262,36.2388,39.5962,38.2562,42.375,43.0312,35.305,38.7225,38.79,39.2663,40.3212,38.5287,34.68,40.8663,38.8262,34.4563,44.6125,37.9912,43.9838,45.1112,36.525,38.37,48.78,37.6562,40.405,39.5837,40.515,39.48,38.2838,40.525,41.27,41.9325,39.0612,45.0588,42.21,41.1475,37.0175,41.9612,41.7962,35.8488,35.1175,39.1725,41.6613,41.075,38.5838,47.3025,46.3612,39.95,46.4838,47.98,46.2163,47,41.5475,49.1612,49.5325,51.4125,47.9488,51.77,47.7587,41.8638,48.8925,48.8625,50.045,53.3438,49.3588,48.01,50.3987,49.8537,53.4987,52.71,56.7963,52.2662,58.785,52.3725,,6198.2
2,2.0075,2.01375,2.01625,6.54,10.5762,6.5775,12.1113,12.2287,11.45,11.0163,8.1875,7.27875,8.9275,13.57,15.3637,13.7287,15.245,14.3012,16.7475,15.385,16.8813,17.6363,18.5388,16.535,23.775,16.8863,14.8113,13.4075,18.4938,13.21,17.705,21.11,19.835,18.4513,17.92,21.1075,22.4888,22.7113,21.7738,15.7575,16.0212,18.9788,19.2313,20.2888,21.3388,21.4425,21.3388,24.0538,23.0325,21.7775,21.555,21.4688,24.9575,25.6988,22.2513,22.8575,21.9738,25.0538,25.44,25.4438,24.7913,25.9588,26.59,30.3663,26.5375,25.0075,22.94,23.3013,26.7663,28.995,25.4138,27.6225,26.4288,26.915,29.245,31.3538,29.5837,26.08,24.1163,30.395,30.7275,29.8775,26.6688,27.43,27.9225,34.3938,30.5963,30.9775,26.8388,28.5713,30.9475,30.2913,28.5338,27.0188,34.7775,29.8763,27.255,30.265,31.3288,36.7587,37.7512,31.82,26.47,36.8425,34.6163,33.8812,34.78,30.77,31.1275,34.4375,32.3275,34.6587,32.0325,34.3013,27.4675,33.4787,34.665,35.3825,34.6875,36.6675,36.2225,31.2025,38.72,38.5838,35.53,38.175,32.8837,34.4238,30.8275,33.2238,42.1575,41.7137,41.805,39.095,38.3025,37.89,46.77,43.2137,43.2175,36.12,37.215,37.0862,43.5925,40.0575,42.2675,34.6113,35.9175,40.6525,41.7825,46.3537,40.1738,38.7088,38.5312,39.7925,42.845,44.255,41.2875,41.355,41.0963,39.7538,37.5738,42.0537,45.5338,48.7862,43.53,47.4913,38.08,43.98,44.46,48.34,48.135,42.945,41.595,40.185,46.2812,45.2687,45.6425,44.6613,42.62,46.2437,45.4525,44.99,50.2775,51.9125,45.4475,45.915,44.5237,46.0375,45.5675,40.9062,49.795,52.8837,51.4,45.87,50.8325,48.8137,59.3788,54.9675,53.7737,,6207.7
2,2.0275,2.01375,2.01375,7.07125,9.54,10.1475,10.6025,13.245,11.1025,12.1963,11.6287,11.7937,4.815,9.165,14.2388,14.9837,13.405,16.2662,14.87,14.7262,11.1525,20.1538,15.1213,14.2737,17.8025,17.505,16.94,18.7913,18.2175,16.6788,14.2175,18.1088,18.9412,20.7175,21.5813,21.5363,18.54,20.2888,19.4925,20.4638,19.9863,17.9925,19.0725,16.6988,24.8688,23.3625,18.5425,23.27,20.8,20.0738,23.8825,25.4625,19.0038,20.7213,18.5613,22.0738,27.0075,21.885,19.195,25.0038,28.0037,19.9175,19.8263,17.6388,21.66,25.2338,24.3875,20.5125,24.1625,30.3113,26.3613,24.1225,22.7325,31.03,29.1725,29.3775,30.3075,28.1613,22.4713,27.3538,21.43,32.26,28.195,28.9137,28.1275,29.0812,28.1663,29.615,24.4588,34.4125,28.9475,29.2112,31.7475,35.1775,30.9925,30.8475,28.8375,27.35,31.895,36.0962,34.73,31.1837,26.8225,35.2612,36.0162,36.7737,34.8688,35.4013,35.2487,37.7612,34.1237,34.08,31.7788,36.74,37.27,35.2787,33.7088,36.6037,40.0887,39.615,37.0262,34.6575,34.325,36.1012,41.32,38.9312,36.6925,34.4588,33.4425,38.1025,42.4037,40.9062,42.3488,36.115,37.4337,36.02,39.5288,44.4775,38.5362,37.5075,37.0275,39.9512,36.685,39.1763,37.8275,40.8112,41.795,40.5538,46.6962,41.2437,44.0775,41.05,43.0925,41.62,35.2488,42.885,38.8575,42.8025,29.4062,40.5512,42.0975,35.7212,38.7275,39.1313,44.01,40.8362,44.17,41.825,40.6425,42.145,42.5412,45.665,40.4325,43.6537,44.5925,49.505,41.4662,49.0463,45.9238,44.42,40.89,52.4025,50.9963,51.3862,50.1463,42.5575,47.5562,53.62,46.65,53.6,45.0275,51.8787,50.91,46.9163,53.025,53.4187,53.9313,54.7137,58.3238,,6173.9
2,2.02875,2.02875,3.99375,6.56625,8.0425,8.72625,8.23875,12.225,12.9475,14.0925,15.1025,13.725,12.2688,11.8962,12.285,12.8488,13.2912,13.2288,17.42,15.8888,14.66,18.0463,14.0175,17.0838,15.245,13.9388,16.5063,16.8375,17.3575,16.9463,21.5063,17.9763,18.78,21.8725,17.5613,16.7113,16.1938,22.51,20.7075,20.7963,18.7425,19.6238,21.8738,22.9213,21.8775,19.4975,23.135,25.5375,26.9888,15.9363,24.0188,24.8875,21.44,18.5212,25.1025,26.1537,23.5138,21.57,28.7363,28.195,25.6025,24.8975,26.47,27.64,29.0325,25.9813,24.3163,24.7875,27.0163,24.6663,23.5375,23.1837,23.6375,24.885,24.3988,32.3025,25.4475,28.2175,27.2513,29.9788,27.4138,25.6313,23.9775,25.5238,22.0525,24.3725,29,24.035,27.6625,27.28,30.185,25.775,35.9412,32.2863,37.4025,40.595,30.7225,32.1475,35.3987,34.375,32.5037,28.485,27.8113,25.0625,31.5325,37.31,31.2213,35.3412,30.4075,33.165,37.0325,36.43,31.4888,36.765,38.92,32.9013,34.2488,36.3413,36.5987,36.1625,39.95,32.3763,34.625,35.655,36.5087,32.6613,37.3262,34.5663,31.3112,37.305,38.0875,37.5487,33.5525,37.5962,37.3963,39.6012,39.4913,40.9463,39.9075,39.185,38.1187,34.7987,43.5788,39.465,40.4387,32.5175,34.6375,40.5225,35.5575,40.9138,36.0175,35.295,42.05,41.325,44.2275,30.9188,35.0588,38.6388,43.6775,42.055,46.0937,44.415,44.1575,43.425,37.4587,41.1125,43.5737,46.4888,43.5525,41.3963,51.425,51.7487,44.085,45.6863,41.555,40.0675,43.0412,45.9925,47.315,48.925,45.9687,45.7525,50.4087,44.58,49.5,43.8687,46.9138,52.5737,52.145,52.8975,46.3875,53.51,51.43,54.27,50.9412,50.5013,55.0388,52.4687,52.6088,,6165.82
