,TRUE,,1,2,3,4,5,6,7,8,9,10,
1,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,0.531445,,0.531445,0.531445,0.531445,0.531445,0.531445,0.531445,0.531445,0.531445,0.531445,0.531445,
3,0.562767,,0.562767,0.562767,0.562767,0.562767,0.562767,0.562767,0.562767,0.562767,0.562767,0.562767,
4,0.593841,,0.593841,0.593841,0.593841,0.593841,0.593841,0.593841,0.593841,0.593841,0.593841,0.593841,
5,0.624545,,0.624545,0.624545,0.624545,0.624545,0.624545,0.624545,0.624545,0.624545,0.624545,0.624545,
6,0.654758,,0.654758,0.654758,0.654758,0.654758,0.654758,0.654758,0.654758,0.654758,0.654758,0.654758,
7,0.684362,,0.684362,0.684362,0.684362,0.684362,0.684362,0.684362,0.684362,0.684362,0.684362,0.684362,
8,0.71324,,0.71324,0.71324,0.71324,0.71324,0.71324,0.71324,0.71324,0.71324,0.71324,0.71324,
9,0.741277,,0.741277,0.741277,0.741277,0.741277,0.741277,0.741277,0.741277,0.741277,0.741277,0.741277,
10,0.768363,,0.768363,0.768363,0.768363,0.768363,0.768363,0.768363,0.768363,0.768363,0.768363,0.768363,
11,0.794393,,0.794393,0.794393,0.794393,0.794393,0.794393,0.794393,0.794393,0.794393,0.794393,0.794393,
12,0.819262,,0.819262,0.819262,0.819262,0.819262,0.819262,0.819262,0.819262,0.819262,0.819262,0.819262,
13,0.842874,,0.842874,0.842874,0.842874,0.842874,0.842874,0.842874,0.842874,0.842874,0.842874,0.842874,
14,0.865134,,0.865134,0.865134,0.865134,0.865134,0.865134,0.865134,0.865134,0.865134,0.865134,0.865134,
15,0.885957,,0.885957,0.885957,0.885957,0.885957,0.885957,0.885957,0.885957,0.885957,0.885957,0.885957,
16,0.905258,,0.905258,0.905258,0.905258,0.905258,0.905258,0.905258,0.905258,0.905258,0.905258,0.905258,
17,0.922964,,0.922964,0.922964,0.922964,0.922964,0.922964,0.922964,0.922964,0.922964,0.922964,0.922964,
18,0.939003,,0.939003,0.939003,0.939003,0.939003,0.939003,0.939003,0.939003,0.939003,0.939003,0.939003,
19,0.953314,,0.953314,0.953314,0.953314,0.953314,0.953314,0.953314,0.953314,0.953314,0.953314,0.953314,
20,0.965838,,0.965838,0.965838,0.965838,0.965838,0.965838,0.965838,0.965838,0.965838,0.965838,0.965838,
21,0.976528,,0.976528,0.976528,0.976528,0.976528,0.976528,0.976528,0.976528,0.976528,0.976528,0.976528,
22,0.985342,,0.985342,0.985342,0.985342,0.985342,0.985342,0.985342,0.985342,0.985342,0.985342,0.985342,
23,0.992244,,0.992244,0.992244,0.992244,0.992244,0.992244,0.992244,0.992244,0.992244,0.992244,0.992244,
24,0.997207,,0.997207,0.997207,0.997207,0.997207,0.997207,0.997207,0.997207,0.997207,0.997207,0.997207,
25,1.00021,,1.00021,1.00021,1.00021,1.00021,1.00021,1.00021,1.00021,1.00021,1.00021,1.00021,
26,1.00125,,1.00125,1.00125,1.00125,1.00125,1.00125,1.00125,1.00125,1.00125,1.00125,1.00125,
27,1.00031,,1.00031,1.00031,1.00031,1.00031,1.00031,1.00031,1.00031,1.00031,1.00031,1.00031,
28,0.997407,,0.997407,0.997407,0.997407,0.997407,0.997407,0.997407,0.997407,0.997407,0.997407,0.997407,
29,0.992544,,0.992544,0.992544,0.992544,0.992544,0.992544,0.992544,0.992544,0.992544,0.992544,0.992544,
30,0.985742,,0.985742,0.985742,0.985742,0.985742,0.985742,0.985742,0.985742,0.985742,0.985742,0.985742,
31,0.977028,,0.977028,0.977028,0.977028,0.977028,0.977028,0.977028,0.977028,0.977028,0.977028,0.977028,
32,0.966438,,0.966438,0.966438,0.966438,0.966438,0.966438,0.966438,0.966438,0.966438,0.966438,0.966438,
33,0.954014,,0.954014,0.954014,0.954014,0.954014,0.954014,0.954014,0.954014,0.954014,0.954014,0.954014,
34,0.939803,,0.939803,0.939803,0.939803,0.939803,0.939803,0.939803,0.939803,0.939803,0.939803,0.939803,
35,0.923864,,0.923864,0.923864,0.923864,0.923864,0.923864,0.923864,0.923864,0.923864,0.923864,0.923864,
36,0.906258,,0.906258,0.906258,0.906258,0.906258,0.906258,0.906258,0.906258,0.906258,0.906258,0.906258,
37,0.887057,,0.887057,0.887057,0.887057,0.887057,0.887057,0.887057,0.887057,0.887057,0.887057,0.887057,
38,0.866334,,0.866334,0.866334,0.866334,0.866334,0.866334,0.866334,0.866334,0.866334,0.866334,0.866334,
39,0.844174,,0.844174,0.844174,0.844174,0.844174,0.844174,0.844174,0.844174,0.844174,0.844174,0.844174,
40,0.820662,,0.820662,0.820662,0.820662,0.820662,0.820662,0.820662,0.820662,0.820662,0.820662,0.820662,
41,0.795893,,0.795893,0.795893,0.795893,0.795893,0.795893,0.795893,0.795893,0.795893,0.795893,0.795893,
42,0.769963,,0.769963,0.769963,0.769963,0.769963,0.769963,0.769963,0.769963,0.769963,0.769963,0.769963,
43,0.742977,,0.742977,0.742977,0.742977,0.742977,0.742977,0.742977,0.742977,0.742977,0.742977,0.742977,
44,0.71504,,0.71504,0.71504,0.71504,0.71504,0.71504,0.71504,0.71504,0.71504,0.71504,0.71504,
45,0.686262,,0.686262,0.686262,0.686262,0.686262,0.686262,0.686262,0.686262,0.686262,0.686262,0.686262,
46,0.656758,,0.656758,0.656758,0.656758,0.656758,0.656758,0.656758,0.656758,0.656758,0.656758,0.656758,
47,0.626645,,0.626645,0.626645,0.626645,0.626645,0.626645,0.626645,0.626645,0.626645,0.626645,0.626645,
48,0.596041,,0.596041,0.596041,0.596041,0.596041,0.596041,0.596041,0.596041,0.596041,0.596041,0.596041,
49,0.565067,,0.565067,0.565067,0.565067,0.565067,0.565067,0.565067,0.565067,0.565067,0.565067,0.565067,
50,0.533845,,0.533845,0.533845,0.533845,0.533845,0.533845,0.533845,0.533845,0.533845,0.533845,0.533845,
51,0.5025,,0.5025,0.5025,0.5025,0.5025,0.5025,0.5025,0.5025,0.5025,0.5025,0.5025,
52,0.471155,,0.471155,0.471155,0.471155,0.471155,0.471155,0.471155,0.471155,0.471155,0.471155,0.471155,
53,0.439933,,0.439933,0.439933,0.439933,0.439933,0.439933,0.439933,0.439933,0.439933,0.439933,0.439933,
54,0.408959,,0.408959,0.408959,0.408959,0.408959,0.408959,0.408959,0.408959,0.408959,0.408959,0.408959,
55,0.378355,,0.378355,0.378355,0.378355,0.378355,0.378355,0.378355,0.378355,0.378355,0.378355,0.378355,
56,0.348242,,0.348242,0.348242,0.348242,0.348242,0.348242,0.348242,0.348242,0.348242,0.348242,0.348242,
57,0.318738,,0.318738,0.318738,0.318738,0.318738,0.318738,0.318738,0.318738,0.318738,0.318738,0.318738,
58,0.28996,,0.28996,0.28996,0.28996,0.28996,0.28996,0.28996,0.28996,0.28996,0.28996,0.28996,
59,0.262023,,0.262023,0.262023,0.262023,0.262023,0.262023,0.262023,0.262023,0.262023,0.262023,0.262023,
60,0.235037,,0.235037,0.235037,0.235037,0.235037,0.235037,0.235037,0.235037,0.235037,0.235037,0.235037,
61,0.209107,,0.209107,0.209107,0.209107,0.209107,0.209107,0.209107,0.209107,0.209107,0.209107,0.209107,
62,0.184338,,0.184338,0.184338,0.184338,0.184338,0.184338,0.184338,0.184338,0.184338,0.184338,0.184338,
63,0.160826,,0.160826,0.160826,0.160826,0.160826,0.160826,0.160826,0.160826,0.160826,0.160826,0.160826,
64,0.138666,,0.138666,0.138666,0.138666,0.138666,0.138666,0.138666,0.138666,0.138666,0.138666,0.138666,
65,0.117943,,0.117943,0.117943,0.117943,0.117943,0.117943,0.117943,0.117943,0.117943,0.117943,0.117943,
66,0.0987415,,0.0987415,0.0987415,0.0987415,0.0987415,0.0987415,0.0987415,0.0987415,0.0987415,0.0987415,0.0987415,
67,0.081136,,0.081136,0.081136,0.081136,0.081136,0.081136,0.081136,0.081136,0.081136,0.081136,0.081136,
68,0.0651967,,0.0651967,0.0651967,0.0651967,0.0651967,0.0651967,0.0651967,0.0651967,0.0651967,0.0651967,0.0651967,
69,0.0509865,,0.0509865,0.0509865,0.0509865,0.0509865,0.0509865,0.0509865,0.0509865,0.0509865,0.0509865,0.0509865,
70,0.0385618,,0.0385618,0.0385618,0.0385618,0.0385618,0.0385618,0.0385618,0.0385618,0.0385618,0.0385618,0.0385618,
